SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
BAFL,35.92,35.80,35.99,35.75,35.97,0.05,0.14%,"75,446"
FDIBL,2.51,2.68,2.68,2.50,2.50,-0.01,-0.40%,"74,500"
FCSC,1.74,1.87,1.87,1.70,1.79,0.05,2.87%,"71,000"
SPLCDEF,2.10,2.15,2.15,1.91,2.00,-0.10,-4.76%,"62,000"
GHGL,54.00,54.00,54.00,53.00,53.25,-0.75,-1.39%,"60,500"
DCR,11.00,11.10,11.10,11.02,11.02,0.02,0.18%,"58,500"
SEARL,268.94,268.30,269.50,267.90,268.90,-0.04,-0.01%,"57,000"
SMCPL,8.34,8.73,8.73,8.38,8.50,0.16,1.92%,"55,500"
AGP,115.12,115.00,116.45,114.90,115.39,0.27,0.23%,"49,500"
CEPB,118.95,118.10,119.00,117.35,118.49,-0.46,-0.39%,"49,000"
ICIBL,1.14,1.14,1.14,1.10,1.10,-0.04,-3.51%,"48,500"
FCEPL,87.05,86.01,87.00,86.01,86.25,-0.80,-0.92%,"45,500"
BAHL,65.83,65.28,65.83,65.28,65.40,-0.43,-0.65%,"45,282"
FFCXD,111.66,111.60,111.60,110.67,110.86,-0.80,-0.72%,"44,087"
DFSM,2.08,1.95,2.05,1.94,2.04,-0.04,-1.92%,"44,000"
SHEL,248.73,245.02,247.50,244.02,245.51,-3.22,-1.29%,"42,600"
IGIL,42.00,42.00,42.00,42.00,42.00,0.00,0.00%,"40,500"
PILDEF,1.30,1.37,1.40,1.35,1.35,0.05,3.85%,"39,500"
BNL,42.12,45.27,45.27,45.00,45.27,3.15,7.48%,"39,000"
YOUW,3.76,3.73,3.87,3.66,3.87,0.11,2.93%,"38,500"
AICL,42.81,42.98,42.99,42.25,42.27,-0.54,-1.26%,"37,000"
